work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,work_setting,company_location,company_size
2024,Entry-level,Full-time,Data Analyst,20000,USD,20000,India,Remote,India,M
2024,Entry-level,Full-time,Data Reporting Analyst,58000,USD,58000,United States,In-person,United States,M
2024,Entry-level,Full-time,Data Reporting Analyst,42000,USD,42000,United States,In-person,United States,M
2024,Senior,Full-time,Data Manager,169680,USD,169680,United States,Remote,United States,M
2024,Senior,Full-time,Data Manager,113120,USD,113120,United States,Remote,United States,M
2024,Mid-level,Full-time,Data Scientist,235400,USD,235400,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Scientist,209720,USD,209720,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Scientist,235400,USD,235400,United States,Remote,United States,M
2024,Mid-level,Full-time,Data Scientist,209720,USD,209720,United States,Remote,United States,M
2024,Mid-level,Full-time,Data Scientist,279400,USD,279400,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Scientist,248920,USD,248920,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Scientist,256500,USD,256500,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Scientist,138900,USD,138900,United States,In-person,United States,M
2024,Senior,Full-time,Data Scientist,185400,USD,185400,United States,In-person,United States,M
2024,Senior,Full-time,Data Scientist,92700,USD,92700,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Scientist,196900,USD,196900,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Scientist,166698,USD,166698,United States,In-person,United States,M
2024,Senior,Full-time,Data Architect,180000,USD,180000,United States,In-person,United States,M
2024,Senior,Full-time,Data Architect,155000,USD,155000,United States,In-person,United States,M
2024,Senior,Full-time,Data Engineer,235400,USD,235400,United States,In-person,United States,M
2024,Senior,Full-time,Data Engineer,199369,USD,199369,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Engineer,234000,USD,234000,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Engineer,146000,USD,146000,United States,In-person,United States,M
2024,Senior,Full-time,Data Engineer,267800,USD,267800,United States,In-person,United States,M
2024,Senior,Full-time,Data Engineer,118450,USD,118450,United States,In-person,United States,M
2024,Senior,Full-time,Data Engineer,150000,USD,150000,United States,In-person,United States,M
2024,Senior,Full-time,Data Engineer,125000,USD,125000,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Analyst,115000,USD,115000,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Analyst,100000,USD,100000,United States,In-person,United States,M
2024,Entry-level,Full-time,Data Analyst,65000,USD,65000,United States,In-person,United States,M
2024,Entry-level,Full-time,Data Analyst,55000,USD,55000,United States,In-person,United States,M
2024,Entry-level,Full-time,Data Analyst,83300,USD,83300,United States,In-person,United States,M
2024,Entry-level,Full-time,Data Analyst,47500,USD,47500,United States,In-person,United States,M
2024,Senior,Full-time,Data Analyst,133000,USD,133000,United States,In-person,United States,M
2024,Senior,Full-time,Data Analyst,106000,USD,106000,United States,In-person,United States,M
2024,Entry-level,Full-time,Data Analyst,151500,USD,151500,United States,In-person,United States,M
2024,Entry-level,Full-time,Data Analyst,79000,USD,79000,United States,In-person,United States,M
2024,Senior,Full-time,Data Analytics Lead,220000,USD,220000,United States,In-person,United States,M
2024,Senior,Full-time,Data Analytics Lead,96600,USD,96600,United States,In-person,United States,M
2024,Entry-level,Full-time,Data Analyst,137000,USD,137000,United States,In-person,United States,M
2024,Entry-level,Full-time,Data Analyst,60400,USD,60400,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Scientist,128000,USD,128000,United States,Remote,United States,M
2024,Mid-level,Full-time,Data Scientist,64000,USD,64000,United States,Remote,United States,M
2024,Mid-level,Full-time,Data Scientist,216600,USD,216600,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Scientist,144400,USD,144400,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Scientist,163700,USD,163700,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Scientist,109100,USD,109100,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Scientist,172000,USD,172000,United States,Remote,United States,M
2024,Mid-level,Full-time,Data Scientist,75600,USD,75600,United States,Remote,United States,M
2024,Entry-level,Full-time,Data Scientist,137000,USD,137000,United States,In-person,United States,M
2024,Entry-level,Full-time,Data Scientist,60400,USD,60400,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Engineer,137000,USD,137000,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Engineer,60400,USD,60400,United States,In-person,United States,M
2024,Executive,Full-time,Data Engineer,165000,USD,165000,United States,In-person,United States,M
2024,Executive,Full-time,Data Engineer,145000,USD,145000,United States,In-person,United States,M
2024,Senior,Full-time,Data Scientist,35000,GBP,43750,United Kingdom,In-person,United Kingdom,M
2024,Senior,Full-time,Data Scientist,35000,GBP,43750,United Kingdom,In-person,United Kingdom,M
2024,Mid-level,Full-time,Data Engineer,137000,USD,137000,United States,In-person,United States,M
2024,Mid-level,Full-time,Data Engineer,60400,USD,60400,United States,In-person,United States,M
2024,Senior,Full-time,Data Engineer,169000,USD,169000,United States,Remote,United States,M
